Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,512.00,512.00,512.00,15360.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Overhead (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Connection Reused (ratio),1.00,1.00,1.00,30.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Data Received (KB),128.58,128.32,128.83,3857.27,128.33,128.33,128.34,128.50,128.60,128.64,128.72,128.76,128.81,0.13
HTTP Data Sent (KB),4.48,3.97,4.81,134.37,4.01,4.13,4.23,4.36,4.49,4.64,4.71,4.77,4.81,0.20
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),18209.67,18164.39,18294.90,546290.07,18165.78,18169.53,18177.62,18188.82,18207.11,18223.42,18236.13,18260.15,18289.07,28.94
HTTP Receiving (ms),17813.32,17770.37,17881.22,534399.63,17771.66,17775.29,17784.19,17794.25,17812.37,17829.75,17838.45,17843.22,17870.76,24.51
HTTP Sending (ms),0.11,0.08,0.13,3.33,0.08,0.08,0.08,0.08,0.12,0.13,0.13,0.13,0.13,0.02
HTTP Total Time (ms),18209.67,18164.39,18294.90,546290.07,18165.78,18169.53,18177.62,18188.82,18207.11,18223.42,18236.13,18260.15,18289.07,28.94
HTTP Waiting (TTFB) (ms),396.24,392.99,456.60,11887.12,393.05,393.21,393.28,393.93,394.07,394.58,394.82,396.12,439.32,11.23
Input Sequence Length (tokens),1024.00,1024.00,1024.00,30720.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),35.08,31.93,105.64,534399.41,34.53,34.64,34.68,34.75,34.83,34.93,35.04,35.14,35.80,3.03
Inter Token Latency (ms),35.18,34.78,35.93,1055.36,34.79,34.82,34.84,34.89,35.23,35.36,35.48,35.56,35.84,0.28
OSL Mismatch Diff % (%),-0.90,-3.12,0.00,-26.95,-2.79,-1.95,-1.95,-1.37,-1.17,0.00,0.00,0.00,0.00,0.81
Output Sequence Length (tokens),507.40,496.00,512.00,15222.00,497.74,502.00,502.00,505.00,506.00,512.00,512.00,512.00,512.00,4.14
Output Token Count (tokens),507.40,496.00,512.00,15222.00,497.74,502.00,502.00,505.00,506.00,512.00,512.00,512.00,512.00,4.14
Output Token Throughput Per User (tokens/sec/user),28.43,27.83,28.75,852.84,27.90,28.12,28.19,28.28,28.38,28.66,28.70,28.72,28.74,0.23
Prefill Throughput Per User (tokens/sec/user),2585.05,2241.75,2604.43,77551.42,2339.27,2583.87,2592.32,2594.12,2597.49,2598.63,2602.90,2603.21,2604.15,63.94
Request Latency (ms),18209.72,18164.43,18294.96,546291.48,18165.82,18169.58,18177.66,18188.87,18207.15,18223.48,18236.17,18260.21,18289.12,28.95
Time to First Output Token (ms),396.40,393.18,456.79,11892.07,393.22,393.36,393.41,394.05,394.23,394.74,395.01,396.31,439.51,11.24
Time to First Token (ms),396.40,393.18,456.79,11892.07,393.22,393.36,393.41,394.05,394.23,394.74,395.01,396.31,439.51,11.24
Time to Second Token (ms),34.69,34.39,35.26,1040.73,34.41,34.46,34.47,34.54,34.66,34.78,34.99,35.06,35.21,0.20

Metric,Value
Benchmark Duration (sec),546.41
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),27.86
Request Count,30.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),30720.00
Total Output Sequence Length (tokens),15222.00
Total Output Tokens (tokens),15222.00
Total Token Throughput (tokens/sec),84.08


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
